5	355488278567739596
8	418970542659199878
45	570275675392078508
40	840062144447779464
30	1488787817663097441
43	1682692516156909696
13	2583272014892537200
46	2804578118555336986
24	3040631852046752166
26	3658352497551999605
21	4413874586873285858
25	4529279813148173111
20	4596340717661012313
2	4620546740167642908
7	4635995468481642529
39	4728986788662773602
32	4745643133208116498
11	5058016125798318033
22	5904155143473820934
37	5945178879512507902
10	6358044926049913402
6	7469126240319926998
18	7736011505917826031
36	8081518017574486547
31	8484116316263611556
17	9219209713614924562
41	9315169977352719788
9	9604170989252516556
15	9627645531742285868
38	9821139136195250096
14	10032373690199166667
12	10349215569089701407
34	10770733876927207790
48	11444576169427052165
42	12843335216705846126
3	13109570281517897720
27	13205889818278417278
19	13729552270962724157
29	14193508720503142180
33	14333959900198994173
1	14514284786278117030
16	15810285301089087632
44	16733405176195045732
23	16795776195466785825
4	17462938647148434322
35	17529942701849009476
28	17853215078830450730
47	18105853946332827420
